01014906,"Edifício Rio, Rua Boa Vista, 230",Centro,"São Paulo", "SP"
01014907,"Edifício Clemente Faria, Rua Boa Vista, 254",Centro,"São Paulo", "SP"
01014908,"Jóquei Club, Rua Boa Vista, 280",Centro,"São Paulo", "SP"
01014909,"Edifício Paulista, Rua Boa Vista, 314",Centro,"São Paulo", "SP"
01014910,"Banco do Estado de Minas Gerais, Rua Boa Vista, 356",Centro,"São Paulo", "SP"
01014911,"Associação Comercial de São Paulo, Rua Boa Vista, 51",Centro,"São Paulo", "SP"
01014912,"Edifício Boa Vista, Rua Boa Vista, 75",Centro,"São Paulo", "SP"
01014913,"Edifício Itaú, Rua Boa Vista, 185",Centro,"São Paulo", "SP"
01014914,"Banco do Estado de São Paulo, Rua Boa Vista, 209",Centro,"São Paulo", "SP"
01014915,"Edifício Cabesp, Rua Boa Vista, 293",Centro,"São Paulo", "SP"
01014916,"Edifício Novo Mundo, Rua João Brícola, 37",Centro,"São Paulo", "SP"
01014917,"Edifício Banco Interestadual, Rua João Brícola, 67",Centro,"São Paulo", "SP"
01014919,"Banco Itaú S.A., Rua Boa Vista, 176",Centro,"São Paulo", "SP"
01014920,"Metrô - Companhia do Metropolitano de São Paulo, Rua Boa Vista, 175",Centro,"São Paulo", "SP"
01014925,"Unibanco S.A., Rua Boa Vista, 162",Centro,"São Paulo", "SP"
01014930,"Edifício Cidade, Rua Boa Vista, 170",Centro,"São Paulo", "SP"
01014940,"Centro de Tratamento de Devoluções, Rua Boa Vista, 84",Centro,"São Paulo", "SP"
01014970,"AGF Boa Vista, Rua Boa Vista, 88 Loja 2 Térreo",Centro,"São Paulo", "SP"
01015000,Rua General Carneiro,Centro,"São Paulo", "SP"
01015010,Praça Padre Manuel da Nóbrega,Centro,"São Paulo", "SP"
01015020,Praça Fernando Costa,Centro,"São Paulo", "SP"
01015030,Rua São Nicolau,Centro,"São Paulo", "SP"
01015040,Rua Maria Benedita,Centro,"São Paulo", "SP"
01015050,Rua Luís Teixeira,Centro,"São Paulo", "SP"
01015060,Rua Hércules Florence,Centro,"São Paulo", "SP"
01015080,Rua Fernão Sales,Centro,"São Paulo", "SP"
01015090,Viaduto Diario Popular,Centro,"São Paulo", "SP"
01015100,Avenida Exterior,Centro,"São Paulo", "SP"
01015900,"Edifício Antônio da Nóbrega, Praça Padre Manuel da Nóbrega, 16",Centro,"São Paulo", "SP"
01016000,Rua Venceslau Brás,Centro,"São Paulo", "SP"
01016010,Rua Irmã Simpliciana,Centro,"São Paulo", "SP"
01016020,Rua Santa Teresa,Centro,"São Paulo", "SP"
01016030,Rua Anchieta,Sé,"São Paulo", "SP"
01016040,Largo Pátio do Colégio,Sé,"São Paulo", "SP"
01016050,Rua Floriano Peixoto,Sé,"São Paulo", "SP"
01017000,"Avenida Rangel Pestana, até 499/500",Brás,"São Paulo", "SP"
01017010,Rua Doutor Bettencourt Rodrigues,Sé,"São Paulo", "SP"
01017030,Viaduto Mercúrio,Sé,"São Paulo", "SP"
01017040,Viaduto Vinte e Cinco de Março,Sé,"São Paulo", "SP"
01017902,"Edifício da Sé, Rua Roberto Simonsen, 62",Sé,"São Paulo", "SP"
01017903,"Primeiro Cartório de Registros de Títulos e Documentos, Rua Roberto Simonsen, 106",Sé,"São Paulo", "SP"
01017904,"Palácio Clóvis Beviláqua, Avenida Rangel Pestana, 203",Sé,"São Paulo", "SP"
01017905,"Edifício Rangel Pestana, Avenida Rangel Pestana, 243",Sé,"São Paulo", "SP"
01017906,"Tribunal de Contas, Avenida Rangel Pestana, 315",Sé,"São Paulo", "SP"
01017907,"Edifício São Roque, Rua Doutor Bettencourt Rodrigues, 88",Sé,"São Paulo", "SP"
01017908,"Edifício Santa Marta, Rua Doutor Bettencourt Rodrigues, 112",Sé,"São Paulo", "SP"
01017909,"Palácio Luso Júnior, Rua Doutor Bettencourt Rodrigues, 155",Sé,"São Paulo", "SP"
01017910,"Edifício São Pedro, Rua Doutor Bettencourt Rodrigues, 196",Sé,"São Paulo", "SP"
01017911,"Secretaria da Fazenda, Avenida Rangel Pestana, 300",Sé,"São Paulo", "SP"
01017970,"AC Secretaria da Fazenda, Avenida Rangel Pestana, 300 Térreo .",Sé,"São Paulo", "SP"
01018000,"Praça Clóvis Beviláqua, lado par",Sé,"São Paulo", "SP"
01018001,"Praça Clóvis Beviláqua, lado ímpar",Sé,"São Paulo", "SP"
01018010,Rua Onze de Agosto,Sé,"São Paulo", "SP"
01018020,Rua Anita Garibaldi,Sé,"São Paulo", "SP"
01019000,Rua Silveira Martins,Sé,"São Paulo", "SP"
01019010,Rua das Flores,Sé,"São Paulo", "SP"
01019020,Rua do Carmo,Sé,"São Paulo", "SP"
01019030,Rua Joaquim dos Santos Andrade,Sé,"São Paulo", "SP"
01019040,Rua Alcides Bezerra,Sé,"São Paulo", "SP"
01019900,"Sindicato dos Metalúrgicos, Rua do Carmo, 171",Sé,"São Paulo", "SP"
01019970,"AC Praça do Carmo, Rua do Carmo, s/n Ala Verde - Poupa tempo Sé",Sé,"São Paulo", "SP"
01020000,"Rua Tabatinguera, lado par",Sé,"São Paulo", "SP"
01020001,"Rua Tabatinguera, lado ímpar",Sé,"São Paulo", "SP"
01020010,Rua das Carmelitas,Sé,"São Paulo", "SP"
01020020,Rua Nioac,Sé,"São Paulo", "SP"
01020030,Rua Frederico Alvarenga,Sé,"São Paulo", "SP"
01020040,Rua Lousada,Sé,"São Paulo", "SP"
01020050,Rua Alexandria,Sé,"São Paulo", "SP"
